ID_Transacao,Data_Lancamento,Data_Prevista,Data_Liquidacao,Valor_Previsto,Valor_Realizado,Status,Tipo_Lancamento,ID_Conta,ID_Fornecedor,Descricao,Canal,Saldo,Dias_em_Aberto,Dias_Divergencia,Faixa_Aging,Faixa_Aging_Div,Criticidade,Criticidade_Div,Ordem_Aging,Ordem_Aging_Div
TRX-01572,2024-09-11,2024-09-15,2024-09-18,4403.86,4403.86,Conciliado,Recebimento,CT-003,FN-008,Ref. NF-4964,Boleto,0.00,,,,,,,,
TRX-00937,2024-12-31,2025-01-05,2025-01-06,35797.40,35797.40,Conciliado,Pagamento,CT-005,FN-008,Ref. NF-7295,Ted,0.00,,,,,,,,
TRX-02444,2024-09-01,2024-09-08,2024-09-09,15141.72,15141.72,Conciliado,Estorno,CT-001,FN-007,Ref. NF-9837,Boleto,0.00,,,,,,,,
TRX-00328,2024-08-31,2024-09-15,2024-09-18,24370.93,24370.93,Conciliado,Estorno,CT-002,FN-002,Ref. NF-1711,Pix,0.00,,,,,,,,
TRX-00760,2024-07-30,2024-08-14,2024-08-17,25624.26,25624.26,Conciliado,Pagamento,CT-006,FN-004,Ref. NF-7792,Boleto,0.00,,,,,,,,
TRX-00885,2024-04-17,2024-04-20,2024-04-20,46512.58,46512.58,Conciliado,Pagamento,CT-004,FN-002,Ref. NF-1855,Pix,0.00,,,,,,,,
TRX-01775,2025-03-09,2025-03-21,2025-03-23,16839.84,16839.84,Conciliado,Estorno,CT-004,FN-007,Ref. NF-8536,Boleto,0.00,,,,,,,,
TRX-01113,2024-07-08,2024-07-13,2024-07-16,15523.10,15523.10,Conciliado,Pagamento,CT-008,FN-006,Ref. NF-3248,Boleto,0.00,,,,,,,,
TRX-00372,2024-01-26,2024-02-01,2024-02-04,46545.45,46545.45,Conciliado,Estorno,CT-002,FN-001,Ref. NF-7814,Ted,0.00,,,,,,,,
TRX-01147,2024-02-28,2024-03-01,2024-03-03,47805.59,47805.59,Conciliado,Pagamento,CT-006,FN-008,Ref. NF-3549,Débito,0.00,,,,,,,,
TRX-00369,2025-02-23,2025-02-28,2025-03-02,38907.94,38907.94,Conciliado,Pagamento,CT-008,FN-001,Ref. NF-2037,Débito,0.00,,,,,,,,
TRX-02171,2024-06-19,2024-07-04,2024-07-04,39084.34,39084.34,Conciliado,Pagamento,CT-006,FN-002,Ref. NF-8189,Débito,0.00,,,,,,,,
TRX-02840,2025-01-08,2025-01-19,2025-01-20,38708.10,38708.10,Conciliado,Pagamento,CT-006,FN-001,Ref. NF-1416,Débito,0.00,,,,,,,,
TRX-01970,2024-03-28,2024-04-06,2024-04-08,49259.74,49259.74,Conciliado,Estorno,CT-002,FN-003,Ref. NF-5965,Pix,0.00,,,,,,,,
TRX-00097,2025-01-27,2025-01-30,2025-01-31,882.63,882.63,Conciliado,Pagamento,CT-006,FN-002,Ref. NF-6802,Ted,0.00,,,,,,,,
TRX-02281,2024-06-01,2024-06-03,2024-06-06,16314.01,16314.01,Conciliado,Pagamento,CT-003,FN-010,Ref. NF-4204,Débito,0.00,,,,,,,,
TRX-00490,2025-03-03,2025-03-13,2025-03-18,23993.35,22934.19,Divergente,Pagamento,CT-004,FN-005,Ref. NF-5478,Pix,1059.16,,74,,61 a 90 dias,,Elevado,,3
TRX-02780,2024-03-20,2024-03-23,2024-03-25,31186.72,31186.72,Conciliado,Pagamento,CT-002,FN-001,Ref. NF-3503,Débito,0.00,,,,,,,,
TRX-02495,2024-12-14,2024-12-28,2025-01-02,2734.06,2380.32,Divergente,Recebimento,CT-003,FN-005,Ref. NF-9471,Débito,353.74,,149,,121 a 180 dias,,Crítico,,5
TRX-00255,2024-08-22,2024-09-06,2024-09-06,21014.90,21014.90,Conciliado,Estorno,CT-007,FN-002,Ref. NF-5687,Pix,0.00,,,,,,,,
TRX-02155,2024-08-10,2024-08-12,2024-08-15,7646.87,7646.87,Conciliado,Pagamento,CT-008,FN-007,Ref. NF-7816,Débito,0.00,,,,,,,,
TRX-02519,2025-04-10,2025-04-22,2025-04-25,24698.63,24698.63,Conciliado,Pagamento,CT-008,FN-003,Ref. NF-7965,Boleto,0.00,,,,,,,,
TRX-02398,2024-10-31,2024-11-10,2024-11-11,34477.73,34477.73,Conciliado,Recebimento,CT-007,FN-007,Ref. NF-9079,Ted,0.00,,,,,,,,
TRX-02699,2025-03-23,2025-04-01,2025-04-03,22002.32,22002.32,Conciliado,Recebimento,CT-005,FN-009,Ref. NF-4733,Pix,0.00,,,,,,,,
TRX-01059,2024-08-02,2024-08-03,,20271.20,,Pendente,Pagamento,CT-007,FN-003,Ref. NF-3474,Pix,20271.20,301,,181 a 360 dias,,Muito Crítico,,6,
TRX-02199,2025-02-27,2025-03-03,2025-03-04,17618.44,15414.27,Divergente,Pagamento,CT-007,FN-003,Ref. NF-8697,Boleto,2204.17,,88,,61 a 90 dias,,Elevado,,3
TRX-02273,2024-09-26,2024-10-08,2024-10-09,19528.12,19528.12,Conciliado,Pagamento,CT-002,FN-008,Ref. NF-7774,Boleto,0.00,,,,,,,,
TRX-00274,2024-10-28,2024-11-02,2024-11-04,47448.94,47448.94,Conciliado,Pagamento,CT-001,FN-005,Ref. NF-3192,Pix,0.00,,,,,,,,
TRX-02692,2024-07-03,2024-07-17,2024-07-18,13606.53,13606.53,Conciliado,Pagamento,CT-002,FN-005,Ref. NF-4279,Pix,0.00,,,,,,,,
TRX-00247,2024-06-22,2024-07-02,2024-07-03,30562.22,30562.22,Conciliado,Pagamento,CT-007,FN-003,Ref. NF-9849,Débito,0.00,,,,,,,,
TRX-00511,2025-01-26,2025-01-27,2025-01-28,16070.68,16070.68,Conciliado,Pagamento,CT-007,FN-008,Ref. NF-5965,Boleto,0.00,,,,,,,,
TRX-02076,2025-01-21,2025-01-29,2025-01-31,29623.85,29623.85,Conciliado,Pagamento,CT-001,FN-010,Ref. NF-7104,Ted,0.00,,,,,,,,
TRX-00501,2024-10-27,2024-11-11,2024-11-14,4993.58,4356.79,Divergente,Pagamento,CT-006,FN-001,Ref. NF-4962,Ted,636.79,,198,,181 a 360 dias,,Muito Crítico,,6
TRX-00291,2024-01-24,2024-02-08,2024-02-09,5794.59,5794.59,Conciliado,Recebimento,CT-003,FN-007,Ref. NF-6536,Pix,0.00,,,,,,,,
TRX-02729,2024-12-08,2024-12-20,2024-12-21,38927.57,38927.57,Conciliado,Recebimento,CT-004,FN-006,Ref. NF-5082,Pix,0.00,,,,,,,,
TRX-00285,2024-09-04,2024-09-19,2024-09-20,2775.63,2775.63,Conciliado,Pagamento,CT-007,FN-008,Ref. NF-6542,Débito,0.00,,,,,,,,
TRX-00650,2024-05-05,2024-05-12,2024-05-15,14624.97,14624.97,Conciliado,Estorno,CT-004,FN-005,Ref. NF-7524,Pix,0.00,,,,,,,,
TRX-02946,2024-05-08,2024-05-18,2024-05-19,11902.51,11902.51,Conciliado,Pagamento,CT-004,FN-009,Ref. NF-5208,Boleto,0.00,,,,,,,,
TRX-01306,2024-02-04,2024-02-10,2024-02-12,39057.77,39057.77,Conciliado,Pagamento,CT-002,FN-001,Ref. NF-4257,Pix,0.00,,,,,,,,
TRX-02876,2024-07-18,2024-07-28,2024-07-28,36722.85,36722.85,Conciliado,Pagamento,CT-006,FN-010,Ref. NF-1163,Pix,0.00,,,,,,,,
TRX-02944,2024-10-07,2024-10-08,2024-10-08,21790.51,21790.51,Conciliado,Pagamento,CT-007,FN-010,Ref. NF-3226,Pix,0.00,,,,,,,,
TRX-00281,2025-04-08,2025-04-13,2025-04-15,23481.73,23481.73,Conciliado,Recebimento,CT-005,FN-005,Ref. NF-7979,Ted,0.00,,,,,,,,
TRX-01121,2025-02-05,2025-02-07,2025-02-10,3464.05,3152.88,Divergente,Pagamento,CT-001,FN-010,Ref. NF-5370,Boleto,311.17,,110,,91 a 120 dias,,Alto,,4
TRX-01258,2024-05-01,2024-05-15,2024-05-16,25039.53,25039.53,Conciliado,Pagamento,CT-003,FN-008,Ref. NF-9932,Débito,0.00,,,,,,,,
TRX-01022,2024-11-14,2024-11-25,2024-11-26,47043.50,42726.05,Divergente,Recebimento,CT-005,FN-004,Ref. NF-4104,Ted,4317.45,,186,,181 a 360 dias,,Muito Crítico,,6
TRX-00571,2024-05-31,2024-06-07,2024-06-08,45506.93,45506.93,Conciliado,Estorno,CT-005,FN-006,Ref. NF-4360,Boleto,0.00,,,,,,,,
TRX-00115,2025-04-08,2025-04-10,2025-04-12,27665.81,27665.81,Conciliado,Pagamento,CT-004,FN-003,Ref. NF-4906,Pix,0.00,,,,,,,,
TRX-00956,2024-10-20,2024-10-29,,7453.14,,Pendente,Estorno,CT-005,FN-001,Ref. NF-6143,Ted,7453.14,214,,181 a 360 dias,,Muito Crítico,,6,
TRX-00385,2024-10-31,2024-11-11,2024-11-14,31002.94,31002.94,Conciliado,Pagamento,CT-003,FN-006,Ref. NF-4271,Pix,0.00,,,,,,,,
TRX-02999,2024-09-10,2024-09-22,2024-09-23,24802.95,24802.95,Conciliado,Recebimento,CT-007,FN-006,Ref. NF-6658,Pix,0.00,,,,,,,,
TRX-02709,2025-01-02,2025-01-12,2025-01-13,34118.96,34118.96,Conciliado,Pagamento,CT-008,FN-005,Ref. NF-7881,Pix,0.00,,,,,,,,
TRX-02916,2024-02-18,2024-03-01,2024-03-03,18141.76,18141.76,Conciliado,Pagamento,CT-004,FN-008,Ref. NF-9490,Ted,0.00,,,,,,,,
TRX-01885,2024-03-03,2024-03-16,2024-03-17,6389.03,6389.03,Conciliado,Pagamento,CT-004,FN-003,Ref. NF-6431,Ted,0.00,,,,,,,,
TRX-00439,2024-05-28,2024-05-31,2024-05-31,13391.94,13391.94,Conciliado,Estorno,CT-005,FN-010,Ref. NF-1447,Pix,0.00,,,,,,,,
TRX-02857,2024-04-13,2024-04-19,2024-04-20,19400.03,19400.03,Conciliado,Pagamento,CT-001,FN-003,Ref. NF-3216,Pix,0.00,,,,,,,,
TRX-01171,2025-01-26,2025-02-10,,49149.27,,Pendente,Pagamento,CT-002,FN-002,Ref. NF-2081,Ted,49149.27,110,,91 a 120 dias,,Alto,,4,
TRX-00655,2025-01-29,2025-02-13,2025-02-15,34974.54,32067.51,Divergente,Estorno,CT-008,FN-006,Ref. NF-1462,Boleto,2907.03,,105,,91 a 120 dias,,Alto,,4
TRX-00047,2024-12-28,2024-12-31,2025-01-02,40505.86,40505.86,Conciliado,Pagamento,CT-005,FN-010,Ref. NF-2419,Boleto,0.00,,,,,,,,
TRX-02470,2024-02-17,2024-03-03,2024-03-03,37509.84,37509.84,Conciliado,Estorno,CT-001,FN-007,Ref. NF-7122,Boleto,0.00,,,,,,,,
TRX-00613,2024-08-13,2024-08-17,,10292.34,,Pendente,Pagamento,CT-001,FN-004,Ref. NF-5029,Boleto,10292.34,287,,181 a 360 dias,,Muito Crítico,,6,
TRX-02895,2024-09-09,2024-09-18,,33612.59,,Pendente,Recebimento,CT-003,FN-001,Ref. NF-4517,Pix,33612.59,255,,181 a 360 dias,,Muito Crítico,,6,
TRX-02727,2024-07-01,2024-07-12,2024-07-12,49335.02,49335.02,Conciliado,Pagamento,CT-005,FN-004,Ref. NF-4291,Débito,0.00,,,,,,,,
TRX-00098,2024-02-06,2024-02-13,2024-02-16,46097.54,46097.54,Conciliado,Recebimento,CT-001,FN-008,Ref. NF-2887,Pix,0.00,,,,,,,,
TRX-00701,2024-07-05,2024-07-12,2024-07-14,49473.78,49473.78,Conciliado,Estorno,CT-005,FN-002,Ref. NF-4251,Pix,0.00,,,,,,,,
TRX-01843,2024-06-16,2024-06-19,2024-06-21,14080.22,14080.22,Conciliado,Pagamento,CT-007,FN-002,Ref. NF-7479,Ted,0.00,,,,,,,,
TRX-01722,2024-11-18,2024-11-23,2024-11-23,2038.85,2038.85,Conciliado,Recebimento,CT-001,FN-004,Ref. NF-9662,Pix,0.00,,,,,,,,
TRX-02830,2024-02-16,2024-02-19,2024-02-20,37267.93,37267.93,Conciliado,Recebimento,CT-005,FN-004,Ref. NF-2163,Ted,0.00,,,,,,,,
TRX-01460,2025-04-02,2025-04-11,2025-04-13,33477.92,33477.92,Conciliado,Pagamento,CT-002,FN-008,Ref. NF-7595,Débito,0.00,,,,,,,,
TRX-02363,2024-02-10,2024-02-19,2024-02-23,7405.74,6900.37,Divergente,Pagamento,CT-003,FN-006,Ref. NF-5464,Pix,505.37,,463,,+360 dias,,Máximo,,7
TRX-00657,2024-07-22,2024-08-03,2024-08-06,8708.27,8708.27,Conciliado,Estorno,CT-004,FN-007,Ref. NF-2456,Pix,0.00,,,,,,,,
TRX-00867,2024-10-01,2024-10-05,2024-10-05,30445.58,30445.58,Conciliado,Estorno,CT-006,FN-003,Ref. NF-6778,Pix,0.00,,,,,,,,
TRX-01033,2025-03-27,2025-03-30,2025-03-31,7627.20,7627.20,Conciliado,Pagamento,CT-007,FN-005,Ref. NF-6782,Boleto,0.00,,,,,,,,
TRX-00658,2024-02-25,2024-03-07,2024-03-10,46535.83,46535.83,Conciliado,Pagamento,CT-005,FN-004,Ref. NF-7845,Boleto,0.00,,,,,,,,
TRX-02261,2024-11-16,2024-11-23,2024-11-24,47883.62,47883.62,Conciliado,Pagamento,CT-007,FN-002,Ref. NF-5971,Boleto,0.00,,,,,,,,
TRX-01902,2025-01-23,2025-01-28,2025-01-30,30335.77,30335.77,Conciliado,Estorno,CT-001,FN-007,Ref. NF-9900,Pix,0.00,,,,,,,,
TRX-01226,2025-03-28,2025-04-09,2025-04-12,40394.43,40394.43,Conciliado,Recebimento,CT-004,FN-003,Ref. NF-9919,Pix,0.00,,,,,,,,
TRX-00942,2025-03-22,2025-03-24,2025-03-25,13175.57,13175.57,Conciliado,Recebimento,CT-004,FN-004,Ref. NF-3907,Pix,0.00,,,,,,,,
TRX-01876,2025-03-02,2025-03-10,,2756.73,,Pendente,Pagamento,CT-002,FN-005,Ref. NF-2017,Ted,2756.73,82,,61 a 90 dias,,Elevado,,3,
TRX-02422,2024-06-09,2024-06-21,,24427.97,,Pendente,Pagamento,CT-004,FN-004,Ref. NF-7641,Boleto,24427.97,344,,181 a 360 dias,,Muito Crítico,,6,
TRX-02496,2024-02-11,2024-02-20,2024-02-22,19451.88,19451.88,Conciliado,Pagamento,CT-001,FN-010,Ref. NF-8130,Pix,0.00,,,,,,,,
TRX-02753,2025-01-31,2025-02-14,2025-02-15,46746.44,46746.44,Conciliado,Pagamento,CT-005,FN-007,Ref. NF-9792,Boleto,0.00,,,,,,,,
TRX-02871,2024-06-26,2024-07-02,2024-07-05,41874.61,41874.61,Conciliado,Pagamento,CT-006,FN-006,Ref. NF-5940,Débito,0.00,,,,,,,,
TRX-01891,2025-03-15,2025-03-26,2025-03-27,49348.02,49348.02,Conciliado,Pagamento,CT-004,FN-001,Ref. NF-9387,Ted,0.00,,,,,,,,
TRX-02148,2024-07-18,2024-07-25,2024-07-26,47867.25,47867.25,Conciliado,Pagamento,CT-003,FN-003,Ref. NF-7186,Pix,0.00,,,,,,,,
TRX-02021,2024-06-25,2024-07-01,2024-07-01,21675.41,21675.41,Conciliado,Pagamento,CT-003,FN-008,Ref. NF-9199,Boleto,0.00,,,,,,,,
TRX-00441,2024-12-03,2024-12-11,,24503.47,,Pendente,Pagamento,CT-005,FN-004,Ref. NF-3376,Boleto,24503.47,171,,121 a 180 dias,,Crítico,,5,
TRX-02157,2024-01-23,2024-01-27,2024-01-27,39894.34,39894.34,Conciliado,Recebimento,CT-005,FN-006,Ref. NF-1606,Pix,0.00,,,,,,,,
TRX-02802,2024-07-24,2024-08-01,,49367.20,,Pendente,Pagamento,CT-002,FN-007,Ref. NF-3223,Débito,49367.20,303,,181 a 360 dias,,Muito Crítico,,6,
TRX-02509,2024-01-08,2024-01-13,,36725.87,,Pendente,Pagamento,CT-002,FN-005,Ref. NF-7493,Débito,36725.87,504,,+360 dias,,Máximo,,7,
TRX-01207,2024-04-10,2024-04-17,2024-04-18,43798.87,43798.87,Conciliado,Recebimento,CT-008,FN-002,Ref. NF-2854,Ted,0.00,,,,,,,,
TRX-02914,2024-05-01,2024-05-12,2024-05-13,19214.53,19214.53,Conciliado,Pagamento,CT-007,FN-001,Ref. NF-3866,Pix,0.00,,,,,,,,
TRX-02517,2025-01-22,2025-02-03,2025-02-06,12994.80,12994.80,Conciliado,Pagamento,CT-004,FN-007,Ref. NF-6921,Pix,0.00,,,,,,,,
TRX-00198,2024-12-21,2024-12-24,2024-12-25,7324.43,7324.43,Conciliado,Recebimento,CT-007,FN-010,Ref. NF-3298,Débito,0.00,,,,,,,,
TRX-01161,2024-12-03,2024-12-10,2024-12-11,37391.42,37391.42,Conciliado,Recebimento,CT-003,FN-006,Ref. NF-5105,Boleto,0.00,,,,,,,,
TRX-02139,2024-12-31,2025-01-06,2025-01-06,46972.09,46972.09,Conciliado,Pagamento,CT-004,FN-008,Ref. NF-7361,Boleto,0.00,,,,,,,,
TRX-02696,2024-01-29,2024-02-10,2024-02-13,26134.64,22381.18,Divergente,Pagamento,CT-003,FN-009,Ref. NF-2442,Ted,3753.46,,473,,+360 dias,,Máximo,,7
TRX-02781,2024-03-26,2024-04-05,2024-04-08,28604.41,28604.41,Conciliado,Pagamento,CT-002,FN-005,Ref. NF-6380,Boleto,0.00,,,,,,,,
TRX-00444,2025-03-21,2025-03-28,2025-03-28,34085.42,34085.42,Conciliado,Pagamento,CT-008,FN-007,Ref. NF-8074,Pix,0.00,,,,,,,,
TRX-00435,2024-11-15,2024-11-18,2024-11-18,41093.54,41093.54,Conciliado,Estorno,CT-007,FN-009,Ref. NF-4878,Débito,0.00,,,,,,,,
TRX-00343,2025-01-26,2025-02-09,2025-02-13,31223.04,27338.96,Divergente,Pagamento,CT-008,FN-006,Ref. NF-7518,Débito,3884.08,,107,,91 a 120 dias,,Alto,,4
TRX-02323,2024-10-22,2024-11-03,2024-11-06,1946.97,1946.97,Conciliado,Pagamento,CT-007,FN-001,Ref. NF-3328,Pix,0.00,,,,,,,,
TRX-01716,2024-01-16,2024-01-20,2024-01-21,47903.24,42610.83,Divergente,Pagamento,CT-002,FN-004,Ref. NF-7857,Débito,5292.41,,496,,+360 dias,,Máximo,,7
TRX-01472,2024-11-14,2024-11-22,2024-11-24,42112.67,36475.48,Divergente,Recebimento,CT-006,FN-004,Ref. NF-6387,Débito,5637.19,,188,,181 a 360 dias,,Muito Crítico,,6
TRX-01353,2024-07-13,2024-07-21,,32975.17,,Pendente,Pagamento,CT-001,FN-010,Ref. NF-5099,Pix,32975.17,314,,181 a 360 dias,,Muito Crítico,,6,
TRX-00327,2025-01-05,2025-01-16,2025-01-19,19221.46,19221.46,Conciliado,Recebimento,CT-002,FN-004,Ref. NF-3906,Boleto,0.00,,,,,,,,
TRX-00401,2025-01-31,2025-02-14,2025-02-17,15073.78,15073.78,Conciliado,Recebimento,CT-003,FN-007,Ref. NF-9202,Ted,0.00,,,,,,,,
TRX-01430,2024-09-11,2024-09-17,2024-09-17,36033.69,36033.69,Conciliado,Pagamento,CT-004,FN-006,Ref. NF-7670,Pix,0.00,,,,,,,,
TRX-00893,2025-03-12,2025-03-16,2025-03-20,45333.38,41175.99,Divergente,Pagamento,CT-006,FN-003,Ref. NF-4161,Pix,4157.39,,72,,61 a 90 dias,,Elevado,,3
TRX-02619,2024-11-06,2024-11-10,2024-11-13,15691.30,15691.30,Conciliado,Estorno,CT-006,FN-009,Ref. NF-3369,Boleto,0.00,,,,,,,,
TRX-02366,2024-04-16,2024-04-30,,6775.41,,Pendente,Recebimento,CT-007,FN-005,Ref. NF-3231,Boleto,6775.41,396,,+360 dias,,Máximo,,7,
TRX-01051,2024-11-09,2024-11-11,2024-11-12,9685.95,9685.95,Conciliado,Pagamento,CT-004,FN-002,Ref. NF-7338,Pix,0.00,,,,,,,,
TRX-01473,2024-06-07,2024-06-11,2024-06-11,12042.16,12042.16,Conciliado,Estorno,CT-006,FN-003,Ref. NF-6719,Pix,0.00,,,,,,,,
TRX-00347,2025-02-20,2025-02-22,2025-02-22,10205.13,10205.13,Conciliado,Pagamento,CT-007,FN-007,Ref. NF-9470,Ted,0.00,,,,,,,,
TRX-01500,2025-04-18,2025-04-23,2025-04-26,11755.81,11755.81,Conciliado,Recebimento,CT-006,FN-009,Ref. NF-2050,Pix,0.00,,,,,,,,
TRX-00643,2025-02-09,2025-02-24,2025-02-25,16555.54,16555.54,Conciliado,Pagamento,CT-002,FN-010,Ref. NF-6209,Pix,0.00,,,,,,,,
TRX-00101,2024-04-30,2024-05-02,2024-05-05,30318.75,30318.75,Conciliado,Pagamento,CT-004,FN-003,Ref. NF-8354,Pix,0.00,,,,,,,,
TRX-02908,2024-05-06,2024-05-15,2024-05-17,19764.85,19128.74,Divergente,Recebimento,CT-007,FN-008,Ref. NF-2163,Débito,636.11,,379,,+360 dias,,Máximo,,7
TRX-02637,2025-01-13,2025-01-16,2025-01-16,31838.85,31838.85,Conciliado,Pagamento,CT-003,FN-005,Ref. NF-5146,Pix,0.00,,,,,,,,
TRX-00531,2025-02-08,2025-02-09,2025-02-09,36978.63,36978.63,Conciliado,Pagamento,CT-008,FN-008,Ref. NF-9295,Ted,0.00,,,,,,,,
TRX-01200,2025-02-16,2025-02-21,2025-02-21,34605.34,34605.34,Conciliado,Pagamento,CT-001,FN-008,Ref. NF-4544,Débito,0.00,,,,,,,,
TRX-00057,2024-01-17,2024-01-21,,34525.55,,Pendente,Pagamento,CT-008,FN-002,Ref. NF-4241,Ted,34525.55,496,,+360 dias,,Máximo,,7,
TRX-01125,2024-08-14,2024-08-17,,27292.60,,Pendente,Estorno,CT-007,FN-001,Ref. NF-9584,Boleto,27292.60,287,,181 a 360 dias,,Muito Crítico,,6,
TRX-01111,2024-07-19,2024-07-27,2024-07-28,47494.70,47494.70,Conciliado,Pagamento,CT-008,FN-010,Ref. NF-9145,Ted,0.00,,,,,,,,
TRX-00076,2024-06-07,2024-06-20,2024-06-21,4961.60,4961.60,Conciliado,Pagamento,CT-006,FN-003,Ref. NF-6994,Débito,0.00,,,,,,,,
TRX-01918,2024-04-10,2024-04-21,2024-04-23,21681.46,21681.46,Conciliado,Pagamento,CT-008,FN-008,Ref. NF-7849,Pix,0.00,,,,,,,,
TRX-01233,2025-04-27,2025-05-01,2025-05-03,22838.95,22838.95,Conciliado,Pagamento,CT-002,FN-004,Ref. NF-5816,Débito,0.00,,,,,,,,
TRX-01979,2024-06-17,2024-06-25,2024-06-28,3963.57,3963.57,Conciliado,Estorno,CT-004,FN-010,Ref. NF-9730,Débito,0.00,,,,,,,,
TRX-01631,2024-03-13,2024-03-15,2024-03-18,10530.47,10530.47,Conciliado,Recebimento,CT-001,FN-001,Ref. NF-1810,Débito,0.00,,,,,,,,
TRX-02222,2024-08-22,2024-08-29,2024-08-31,8115.22,8115.22,Conciliado,Pagamento,CT-001,FN-005,Ref. NF-8297,Pix,0.00,,,,,,,,
TRX-02081,2024-09-18,2024-09-29,2024-10-02,14392.87,14392.87,Conciliado,Estorno,CT-008,FN-001,Ref. NF-1259,Boleto,0.00,,,,,,,,
TRX-00301,2025-02-01,2025-02-13,2025-02-17,49180.94,42083.58,Divergente,Pagamento,CT-008,FN-003,Ref. NF-3636,Ted,7097.36,,103,,91 a 120 dias,,Alto,,4
TRX-00436,2024-12-30,2025-01-08,2025-01-11,48922.56,48922.56,Conciliado,Recebimento,CT-006,FN-001,Ref. NF-9624,Ted,0.00,,,,,,,,
TRX-02953,2024-10-05,2024-10-06,,32150.68,,Pendente,Recebimento,CT-004,FN-009,Ref. NF-5620,Ted,32150.68,237,,181 a 360 dias,,Muito Crítico,,6,
TRX-01304,2024-09-14,2024-09-23,2024-09-26,33533.72,33533.72,Conciliado,Pagamento,CT-004,FN-006,Ref. NF-1662,Débito,0.00,,,,,,,,
TRX-01576,2024-07-28,2024-07-29,2024-08-01,26301.38,26301.38,Conciliado,Pagamento,CT-005,FN-003,Ref. NF-8566,Boleto,0.00,,,,,,,,
TRX-02446,2024-09-24,2024-10-03,2024-10-08,36428.47,31158.08,Divergente,Estorno,CT-004,FN-005,Ref. NF-8679,Boleto,5270.39,,235,,181 a 360 dias,,Muito Crítico,,6
TRX-01422,2024-01-01,2024-01-16,2024-01-17,42171.76,42171.76,Conciliado,Pagamento,CT-002,FN-006,Ref. NF-3756,Débito,0.00,,,,,,,,
TRX-01064,2024-01-10,2024-01-18,2024-01-22,47256.55,45373.51,Divergente,Recebimento,CT-004,FN-004,Ref. NF-6424,Boleto,1883.04,,495,,+360 dias,,Máximo,,7
TRX-01058,2024-04-26,2024-05-06,2024-05-10,23514.77,22847.32,Divergente,Pagamento,CT-006,FN-007,Ref. NF-7317,Pix,667.45,,386,,+360 dias,,Máximo,,7
TRX-00282,2025-01-13,2025-01-15,2025-01-17,33336.07,33336.07,Conciliado,Pagamento,CT-001,FN-003,Ref. NF-6615,Pix,0.00,,,,,,,,
TRX-01348,2024-10-31,2024-11-09,2024-11-12,23355.39,23355.39,Conciliado,Pagamento,CT-001,FN-007,Ref. NF-2713,Débito,0.00,,,,,,,,
TRX-00447,2024-04-08,2024-04-09,,46956.02,,Pendente,Estorno,CT-002,FN-001,Ref. NF-2965,Pix,46956.02,417,,+360 dias,,Máximo,,7,
TRX-00406,2025-02-17,2025-02-18,2025-02-18,33143.80,33143.80,Conciliado,Pagamento,CT-004,FN-010,Ref. NF-4401,Débito,0.00,,,,,,,,
TRX-02353,2024-02-23,2024-03-02,2024-03-04,4489.90,4489.90,Conciliado,Pagamento,CT-008,FN-003,Ref. NF-6638,Débito,0.00,,,,,,,,
TRX-00299,2025-01-15,2025-01-26,2025-01-26,39323.21,39323.21,Conciliado,Recebimento,CT-004,FN-009,Ref. NF-6122,Débito,0.00,,,,,,,,
TRX-01449,2024-02-10,2024-02-16,2024-02-18,14402.14,14402.14,Conciliado,Recebimento,CT-002,FN-009,Ref. NF-9281,Débito,0.00,,,,,,,,
TRX-02079,2024-02-05,2024-02-06,2024-02-09,4350.93,4350.93,Conciliado,Pagamento,CT-006,FN-007,Ref. NF-2421,Ted,0.00,,,,,,,,
TRX-00260,2025-03-04,2025-03-05,2025-03-08,45942.54,45942.54,Conciliado,Pagamento,CT-008,FN-001,Ref. NF-1500,Ted,0.00,,,,,,,,
TRX-02098,2024-01-12,2024-01-19,2024-01-20,5117.53,5117.53,Conciliado,Recebimento,CT-007,FN-010,Ref. NF-3023,Pix,0.00,,,,,,,,
TRX-01742,2024-03-05,2024-03-20,2024-03-22,26930.43,26930.43,Conciliado,Pagamento,CT-006,FN-007,Ref. NF-8349,Débito,0.00,,,,,,,,
TRX-01274,2025-01-21,2025-01-28,2025-01-29,28675.08,28675.08,Conciliado,Estorno,CT-006,FN-008,Ref. NF-7136,Boleto,0.00,,,,,,,,
TRX-01738,2024-05-28,2024-06-02,2024-06-04,42083.75,40796.28,Divergente,Recebimento,CT-007,FN-003,Ref. NF-2158,Pix,1287.47,,361,,+360 dias,,Máximo,,7
TRX-01461,2024-09-01,2024-09-05,2024-09-07,7684.86,7556.67,Divergente,Recebimento,CT-005,FN-003,Ref. NF-2738,Boleto,128.19,,266,,181 a 360 dias,,Muito Crítico,,6
TRX-01522,2024-02-26,2024-03-09,2024-03-10,43821.58,43821.58,Conciliado,Pagamento,CT-001,FN-004,Ref. NF-6698,Débito,0.00,,,,,,,,
TRX-02821,2024-05-07,2024-05-13,2024-05-16,46984.29,46984.29,Conciliado,Pagamento,CT-005,FN-001,Ref. NF-1968,Ted,0.00,,,,,,,,
TRX-01678,2024-07-09,2024-07-13,,23935.90,,Pendente,Pagamento,CT-007,FN-005,Ref. NF-5126,Boleto,23935.90,322,,181 a 360 dias,,Muito Crítico,,6,
